folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
24564;Périplos;"Universidade de Brasília (UnB)";1;1;11212;Brasil;2594-7443;2594-7443;;"Antropología, Ciencias sociales y humanidades, Demografía, Etnología, Geografía, Historia, Sociología, Estudios locales, Estudios latinoamericanos, Estudios de género"
25749;"Phenomenology, Humanities and Sciences";"Universidade Federal do Paraná (UFPR)";1;;;Brasil;2675-4673;2675-4673;;"Antropología, Psicología, Psiquiatría, Salud pública"
11816;"PINACO. Programa de Investigaciones sobre Antropología Cognitiva";"Programa de Investigaciones sobre Antropología Cognitiva";0;;;Argentina;;;1668-1754;Antropología
19567;"Plural : Revista de Ciências Sociais";"Universidade de São Paulo (USP)";1;1;7430;Brasil;2176-8099;2176-8099;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Religión, Sociología, Humanidades"
28892;Podall;"Centre d'Estudis de la Conca de Barberà";1;;;España;2014-6957;2014-6957;;"Antropología, Arqueología, Folklore, Historia, Historia del arte, Estudios locales"
11875;Podium;"Universidad de Especialidades Espíritu Santo";0;0;4151;Ecuador;;;1390-5473;"Administración, Antropología, Arqueología, Ciencias de la comunicación, Derecho y jurisprudencia, Economía, Educación, Geografía, Historia, Sociología"
27978;Polifonia;"Academia Paulista de Direito";1;;;Brasil;2596-111X;2596-111X;;"Antropología, Derecho procesal, Relaciones internacionales, Defensa y seguridad, Derechos humanos"
25579;"Ponto Urbe";"Universidade de São Paulo (USP)";1;1;10602;Brasil;1981-3341;1981-3341;;"Antropología, Ciencias sociales y humanidades, Cultura, Etnología, Fotografía, Literatura, Religión, Sociología, Estudios latinoamericanos, Estudios de género, Planificación urbana, Derechos humanos"
25035;Pós;"Universidade de Brasília (UnB)";1;0;11870;Brasil;2317-0344;1415-4056;1415-4056;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Etnología, Sociología, Estudios latinoamericanos"
27371;Prajna;"Laboratório de Pesquisa de Culturas Orientais (LAPECO)";1;;;Brasil;2675-9969;2675-9969;;"Antropología, Ciencias sociales y humanidades, Etnología, Historia, Religión, Sociología"
27634;"Práxis e Hegemonia Popular";"Universidade Estadual Paulista ""Júlio de Mesquita Filho"" (UNESP)";1;;;Brasil;2526-1843;2526-1843;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho internacional, Historia, Trabajo social"
21298;Prelúdios;"Universidade Federal da Bahia (UFBA)";1;0;8505;Brasil;2318-7808;2318-7808;;"Antropología, Ciencias sociales y humanidades, Cultura, Sociología, Humanidades"
28025;"Primeiros Estudos";"Universidade de São Paulo (USP)";1;;;Brasil;2237-2423;2237-2423;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Sociología"
12110;"Proa : Revista de Antropologia e Arte";"Universidade Estadual de Campinas (Unicamp)";1;0;4246;Brasil;2175-6015;2175-6015;;"Antropología, Arte"
12313;"Psiquiatría y salud mental";"Hospital Psiquiatrico Doctor José Horwitz Barak; Sociedad Chilena de Salud Mental";0;;;Chile;;;0717-6775;"Antropología, Psicología, Psiquiatría, Sociología, Terapéutica y rehabilitación"
12360;"Publicación Extra - Museo Nacional de Historia Natural";"Museo Nacional de Historia Natural y Antropología";0;;;Uruguay;;;0797-0420;Antropología
12368;"Publicación ocasional - Museo Nacional de Historia Natural";"Museo Nacional de Historia Natural";0;;;Chile;;;0716-0224;"Antropología, Botánica, Paleontología, Zoología"
12457;"Publicar en antropología y ciencias sociales";"Colegio de Graduados de Antropología de la República Argentina.";1;1;4357;Argentina;2250-7671;0327-6627;0327-6627;"Antropología, Ciencias sociales y humanidades"
12521;"Quaderns de l'Institut Catalá d'Antropología";"Institut Català d'Antropologia";0;0;4380;España;;;0211-5557;Antropología
20512;"Quaderns de l'Institut Català d'Antropologia";"Institut Català d'Antropologia";1;;;España;2385-4472;0211-142X;;Antropología
24374;"Quaderns de polítiques familiars";"Instituto de Estudios Superiores de la Familia de UIC Barcelona";1;;;España;2385-5223;2385-5215;;"Antropología, Derecho y jurisprudencia, Economía, Educación, Historia, Medicina, Pedagogía, Psicología, Sociología"
12532;Quaderns-e;"Institut Català d'Antropologia";1;0;4384;España;1696-8298;;;Antropología
20891;"Quid 16";"Universidad de Buenos Aires; Facultad de Ciencias Sociales; Instituto de Investigaciones Gino Germani; Área de Estudios Urbanos";1;1;8349;Argentina;2250-4060;2250-4060;;"Antropología, Ciencias sociales y humanidades, Economía, Historia, Sociología, Planificación urbana"
12608;"r@u : Revista de Antropologia Social dos Alunos do PPGAS-UFSCAR";"Universidade Federal de São Carlos, Programa de Pós-Graduação em Antropologia Social";1;0;4418;Brasil;2175-4705;;;Antropología
24081;Raízes;"Universidade Federal de Campina Grande (UFCG)";1;;;Brasil;2358-8705;0102-552X;0102-552X;"Antropología, Geografía, Sociología, Desarrollo económico, Estudios locales, Economía agrícola"
24002;"Ratio Juris";"Universidad Autónoma Latinoamericana";1;0;11210;Colombia;2619-4066;1794-6638;1794-6638;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho y jurisprudencia, Educación, Sociología"
12677;"RBSE. Revista brasileira de sociologia da emoção";"Universidade Federal da Paraíba (UFPB)";1;0;4442;Brasil;1676-8965;1676-8965;;"Antropología, Sociología"
