Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
20;24777;"Minds and Machines";journal;"09246495, 15728641";"Springer Netherlands";No;No;1,339;Q1;56;51;96;3415;602;91;5,29;66,96;28,26;2;5;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
21;21100286342;"Philosophical Topics";journal;"02762080, 2154154X";"The University of Arkansas Press";No;No;1,303;Q1;23;0;76;0;183;74;1,39;0,00;0,00;0;0;United States;Northern America;"The University of Arkansas Press";"2011-2023";"Philosophy (Q1)";"Arts and Humanities"
22;23715;"Science Technology and Human Values";journal;"01622439, 15528251";"SAGE Publications Inc.";No;No;1,290;Q1;96;97;179;5946;757;163;3,83;61,30;62,42;2;44;United States;Northern America;"SAGE Publications Inc.";"1976-2025";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
23;144636;"Linguistics and Philosophy";journal;"01650157";"Springer Netherlands";No;No;1,242;Q1;64;30;107;1851;152;107;1,44;61,70;19,57;0;0;Netherlands;Western Europe;"Springer Netherlands";"1977-2002, 2005-2025";"Linguistics and Language (Q1); Philosophy (Q1)";"Arts and Humanities; Social Sciences"
24;23616;"AI and Society";journal;"09515666, 14355655";"Springer London";No;No;1,208;Q1;55;551;485;26690;3069;433;6,03;48,44;35,24;48;94;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
25;15330;"Thinking and Reasoning";journal;"14640708, 13546783";"Taylor and Francis Ltd.";No;No;1,164;Q1;58;41;70;2486;243;67;3,29;60,63;33,95;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995, 2000-2025";"Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
26;19500157063;"International Journal of Social Robotics";journal;"18754805, 18754791";"Springer Verlag";No;No;1,157;Q1;85;152;400;10082;2620;386;5,51;66,33;36,90;3;30;Germany;Western Europe;"Springer Verlag";"2009-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Psychology (Q1)";"Arts and Humanities; Computer Science; Engineering; Psychology"
27;24826;"Journal of Philosophy";journal;"0022362X, 19398549";"Journal of Philosophy, Inc.";No;No;1,145;Q1;66;20;35;1398;64;33;1,58;69,90;14,29;0;0;United States;Northern America;"Journal of Philosophy, Inc.";"1977, 1980, 1989-1990, 2002-2021, 2023-2024";"Philosophy (Q1)";"Arts and Humanities"
28;21100284946;"Journal of Critical Realism";journal;"14767430, 15725138";"Maney Publishing";No;No;1,144;Q1;21;28;103;1749;342;91;2,83;62,46;34,38;0;6;United Kingdom;Western Europe;"Maney Publishing";"2013-2025";"Philosophy (Q1)";"Arts and Humanities"
29;100147345;"Journal of Sociolinguistics";journal;"13606441, 14679841";"Wiley-Blackwell Publishing Ltd";No;No;1,057;Q1;68;33;111;1287;256;87;2,14;39,00;43,75;0;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2025";"History and Philosophy of Science (Q1); Linguistics and Language (Q1); Philosophy (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
30;27699;"Synthese";journal;"00397857, 15730964";"Springer Netherlands";No;No;1,052;Q1;89;384;2435;22305;4721;2385;1,55;58,09;22,32;2;13;Netherlands;Western Europe;"Springer Netherlands";"1936-1939, 1946-1949, 1955-1956, 1959-1963, 1966-2025";"Philosophy (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
31;21100466413;"Life Sciences, Society and Policy";journal;"21957819";"Springer International Publishing AG";Yes;No;1,035;Q1;27;0;10;0;78;10;0,00;0,00;0,00;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2021";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Philosophy (Q1)";"Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Environmental Science"
32;21101059716;"Al-Ihkam: Jurnal Hukum dan Pranata Sosial";journal;"24423084, 1907591X";"Faculty of Shariah Institut Agama Islam Negeri Madura";Yes;No;1,015;Q1;12;18;75;747;310;75;4,55;41,50;25,49;0;6;Indonesia;Asiatic Region;"Faculty of Shariah Institut Agama Islam Negeri Madura";"2018-2024";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Philosophy (Q1); Religious Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Arts and Humanities; Psychology; Social Sciences"
33;19800188078;"Review of Symbolic Logic";journal;"17550211, 17550203";"Cambridge University Press";No;No;0,999;Q1;33;56;123;1919;148;123;1,35;34,27;8,24;0;0;United Kingdom;Western Europe;"Cambridge University Press";"2008-2025";"Logic (Q1); Mathematics (miscellaneous) (Q1); Philosophy (Q1)";"Arts and Humanities; Mathematics"
34;19400158521;"Review of Philosophy and Psychology";journal;"18785166, 18785158";"Springer Verlag";No;No;0,983;Q1;48;99;172;6783;430;166;2,44;68,52;32,65;0;2;Germany;Western Europe;"Springer Verlag";"2010-2025";"Philosophy (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
